fecha,capa1,capa2,capa3,iep_total,pesos_version,capa1_adj,capa2_adj,capa3_adj,iep_ajustado
2009-09-21,,,,,incompleta-v4,,,,
2009-09-22,,,,,incompleta-v4,,,,
2009-09-23,,,,,incompleta-v4,,,,
2009-09-24,,,,,incompleta-v4,,,,
2009-09-25,,,,,incompleta-v4,,,,
2009-09-28,,,,,incompleta-v4,,,,
2009-09-29,,,,,incompleta-v4,,,,
2009-09-30,,,,,incompleta-v4,,,,
2009-10-01,,,,,incompleta-v4,,,,
2009-10-02,,,,,incompleta-v4,,,,
2009-10-05,,,,,incompleta-v4,,,,
2009-10-06,,,,,incompleta-v4,,,,
2009-10-07,,,,,incompleta-v4,,,,
2009-10-08,,,,,incompleta-v4,,,,
2009-10-09,,,,,incompleta-v4,,,,
2009-10-12,,,,,incompleta-v4,,,,
2009-10-13,,,,,incompleta-v4,,,,
2009-10-14,,,,,incompleta-v4,,,,
2009-10-15,,,,,incompleta-v4,,,,
2009-10-16,,,,,incompleta-v4,,,,
2009-10-19,,,,,incompleta-v4,,,,
2009-10-20,,,,,incompleta-v4,,,,
2009-10-21,,,,,incompleta-v4,,,,
2009-10-22,,,,,incompleta-v4,,,,
2009-10-23,,,,,incompleta-v4,,,,
2009-10-26,,,,,incompleta-v4,,,,
2009-10-27,,,,,incompleta-v4,,,,
2009-10-28,,,,,incompleta-v4,,,,
2009-10-29,,,,,incompleta-v4,,,,
2009-10-30,,,,,incompleta-v4,,,,
2009-11-02,,,,,incompleta-v4,,,,
2009-11-03,,,,,incompleta-v4,,,,
2009-11-04,,,,,incompleta-v4,,,,
2009-11-05,,,,,incompleta-v4,,,,
2009-11-06,,,,,incompleta-v4,,,,
2009-11-09,,,,,incompleta-v4,,,,
2009-11-10,,,,,incompleta-v4,,,,
2009-11-11,,,,,incompleta-v4,,,,
2009-11-12,,,,,incompleta-v4,,,,
2009-11-13,,,,,incompleta-v4,,,,
2009-11-16,,,,,incompleta-v4,,,,
2009-11-17,,,,,incompleta-v4,,,,
2009-11-18,,,,,incompleta-v4,,,,
2009-11-19,,,,,incompleta-v4,,,,
2009-11-20,,,,,incompleta-v4,,,,
2009-11-23,,,,,incompleta-v4,,,,
